district,number of apartments,1 room,2 rooms,3 rooms ,4 rooms,5 rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible,Private offer,Estate agent,Booking House of Co,Degewo,HousingAnywhere B.V.,Howoge,Numa Group,Tauschwohnung Wohnungstausch,Visionapartments,Wohnungsswap.de,avg €/m²,avg €/ 1 room,avg €/ 2 room,avg €/ 3 room,avg €/ 4 room,avg €/ 5 room
Adlershof,68,11,38,17,1,1,5,4,2,1,53,53,0,0,1,6,0,0,51,0,0,0,0,10,15.70,1206.85,690.43,842.01,959.4,2089
Altglienicke,18,2,5,3,8,0,4,5,2,3,1,10,3,0,2,5,0,0,9,0,0,0,0,2,18.30,1950,863.64,914.37,1847.36,0
Alt-Hohenschönhausen,9,1,4,2,2,0,5,4,3,0,2,2,0,0,0,4,0,0,5,0,0,0,0,0,13.41,420,977.04,798.26,1105,0
Alt-Treptow,22,8,9,4,1,0,5,3,2,0,1,1,0,0,1,2,0,0,10,0,0,1,0,8,22.27,1711.88,1220.56,977.5,1700,0
Baumschulenweg,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14.21,0,920,1200,0,0
Biesdorf,12,2,4,5,1,0,8,2,4,3,2,1,0,1,5,2,1,0,2,0,0,1,0,1,23.23,2012,1169.36,2162.69,2100,0
Blankenburg,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.11,0,0,1520,0,0
Bohnsdorf,7,4,0,2,0,0,3,1,0,2,0,0,0,0,1,3,0,0,1,0,0,0,0,2,33.05,1120.97,0,1777.84,0,0
Borsigwalde,4,1,2,1,0,0,2,2,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,19.50,853.8,1135,1669,0,0
Britz,9,2,4,3,0,0,4,1,2,0,2,2,1,0,1,4,0,0,4,0,0,0,0,0,17.88,1103.5,983.08,1012.96,0,0
Buch,13,2,6,3,2,0,3,2,6,1,2,3,1,0,3,3,0,0,7,0,0,0,0,0,15.44,461.75,1180.27,1160.15,1860,0
Buckow,8,2,4,1,0,0,6,3,2,1,2,1,1,0,0,6,0,0,2,0,0,0,0,0,16.16,955.93,977.31,922.33,0,0
Charlottenburg,267,114,66,40,30,6,92,95,39,13,46,20,25,0,29,94,0,4,77,3,1,7,0,52,35.16,1701.82,1964.44,2928.49,3876.36,5918.49
Charlottenburg-Nord,4,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13.12,0,583.33,0,1820,0
Dahlem,5,1,0,1,2,0,4,3,2,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,23.20,809,0,3400,3693.5,0
Falkenberg,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22.49,1669,0,0,0,1870
Falkenhagener Feld,6,3,0,3,0,0,3,1,0,1,1,1,0,0,0,2,0,0,3,0,0,1,0,0,17.21,810,0,1179.93,0,0
Fennpfuhl,8,4,3,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,2,27.92,717.5,730,0,2995,0
Französisch Buchholz,7,3,3,1,0,0,1,1,2,0,0,1,0,0,0,1,0,0,5,0,0,0,0,1,23.46,1748.33,929.27,3000,0,0
Friedenau,25,3,11,8,1,1,16,13,3,9,1,0,0,0,2,12,0,0,10,0,0,0,0,1,23.18,1210,1460.78,1640,2950,2840
Friedrichsfelde,18,4,7,5,2,0,11,7,4,3,5,1,1,0,1,8,0,0,8,0,0,1,0,0,20.18,1070,975,1449.62,1443.5,0
Friedrichshagen,13,1,6,6,0,0,9,9,3,2,2,0,3,1,3,6,0,0,4,0,0,0,0,0,20.41,277.89,1658.83,2523,0,0
Friedrichshain,290,118,115,43,7,2,85,63,35,6,41,19,6,0,26,49,1,1,143,0,1,8,0,61,31.12,1650.72,1811.83,2179.24,3359.29,5013.7
Gatow,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,30.36,1450,1156,0,0,0
Gesundbrunnen,92,32,42,12,5,0,17,7,6,2,6,0,3,0,5,10,0,0,65,0,0,1,1,10,30.30,1317,1801.9,2480.92,2694,0
Gropiusstadt,6,1,0,5,0,0,4,0,0,0,5,0,0,0,0,2,0,0,4,0,0,0,0,0,9.55,450,0,739.59,0,0
Grünau,15,2,4,7,2,0,7,12,6,0,5,1,1,0,3,8,2,1,1,0,0,0,0,0,24.27,1024.01,1183.41,2445.54,2842.29,0
Grunewald,17,3,2,7,3,0,12,12,6,5,0,1,3,0,8,6,0,0,2,0,0,0,0,1,23.13,1626.67,1550,2686.17,4373.33,0
Hakenfelde,16,2,9,4,1,0,13,9,7,3,3,0,1,0,4,6,0,0,3,0,0,0,0,3,19.90,1100,1213.42,2163.5,3078.5,0
Halensee,24,8,6,8,1,1,11,14,11,1,2,2,1,0,4,9,0,0,3,0,0,1,0,7,29.44,1518.28,2085,2932.15,5548,3970
Hansaviertel,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27.47,1895,960,0,0,0
Haselhorst,5,2,2,0,0,0,2,2,1,0,1,2,0,0,1,1,0,0,3,0,0,0,0,0,20.84,1300,1795,0,0,0
Heiligensee,3,0,1,0,2,0,3,2,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,21.65,0,2005,0,2884.5,0
Heinersdorf,10,3,3,4,0,0,8,5,5,0,3,1,0,0,4,1,0,0,5,0,0,0,0,0,25.92,1400,1407.78,1778.75,0,0
Hellersdorf,14,2,3,9,0,0,12,1,10,1,1,0,0,0,0,12,1,0,1,0,0,0,0,0,12.10,436.73,820,792.11,0,0
Hermsdorf,4,0,2,2,0,0,3,3,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,19.05,0,1568,2561,0,0
Johannisthal,7,2,1,3,1,0,3,2,1,1,0,0,0,1,1,2,0,0,2,0,0,0,0,2,22.58,1105,1590,1628.33,3000,0
Karlshorst,20,3,6,4,5,0,10,7,3,7,0,1,1,0,5,10,0,0,3,1,0,0,0,1,26.92,1160,1584.63,1964.75,2543,0
Karow,5,1,2,1,0,0,2,2,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,19.33,1300,789.5,1404.41,0,0
Kaulsdorf,7,1,3,2,0,0,4,4,1,2,2,0,0,0,1,4,0,0,2,0,0,0,0,0,16.96,1132.69,1086.67,1247.5,0,0
Konradshöhe,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.55,0,0,0,2370,0
Köpenick,65,16,24,13,4,2,48,32,29,5,15,3,5,0,9,35,0,0,20,0,0,0,0,1,21.71,863.57,1119.87,1717.5,1830.97,2079.37
Kreuzberg,228,110,69,30,12,2,47,42,20,8,23,8,2,0,12,29,0,1,110,0,0,10,1,65,32.40,1725.8,2118.51,1921.5,2694.37,3135
Lankwitz,12,2,4,3,1,0,8,7,3,3,1,0,0,0,7,1,0,0,3,0,0,0,0,1,21.10,1850,1249.75,2210,730,0
Lichtenberg,33,14,12,6,1,0,8,1,0,0,0,0,0,0,0,5,0,0,26,0,0,0,0,2,22.22,1096.5,952,933.33,1810,0
Lichtenrade,11,2,4,2,0,2,5,3,4,1,2,3,1,0,2,4,0,0,3,0,0,0,0,2,20.84,1725,1203.49,2016.99,0,2637.5
Lichterfelde,34,7,9,10,3,0,19,17,10,7,6,0,3,0,9,15,0,0,7,0,0,0,1,2,23.52,1072.43,1342.42,2049.85,2718.67,0
Lübars,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.86,0,1000,0,0,0
Mahlsdorf,5,1,2,2,0,0,3,3,1,2,0,0,0,0,2,1,0,0,1,0,0,0,0,1,21.14,1450,1299,2024.74,0,0
Mariendorf,17,5,6,5,1,0,7,6,2,2,1,3,1,0,3,1,0,0,9,0,0,1,0,3,23.56,1470,1940.5,1822.8,3150,0
Marienfelde,15,6,3,4,2,0,4,3,3,0,0,0,1,0,1,11,0,0,3,0,0,0,0,0,25.59,1308,1349.8,1921.47,2305.5,0
Märkisches Viertel,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.23,0,600,0,0,0
